m: 1
0.05,-2850.2412142
0.1,-1866.3212142
0.2,101.5412142
0.3,2069.412142
0.4,4037.2512142
0.6,7972.9712142
0.8,11908.712142
1,15844.412142
standart_deviation: 2884.24

m: 2
0.05,509.30912142
0.1,100.1412142
0.2,-240.64412142
0.3,55.312912142
0.4,988.00912142
0.6,4763.6212142
0.8,11086.212142
1,19955.712142
standart_deviation: 536.587

m: 3
0.05,-9.8374212142
0.1,25.037212142
0.2,180.29912142
0.3,558.67312142
0.4,1291.0812142
0.6,4341.6412142
0.8,10379.312142
1,20451.512142
standart_deviation: 36.0771

m: 4
0.05,13.252112142
0.1,12.415412142
0.2,151.77412142
0.3,552.48612142
0.4,1313.0412142
0.6,4367.7312142
0.8,10344.112142
1,20462.812142
standart_deviation: 24.6609

m: 5
0.05,-1.4675812142
0.1,30.573812142
0.2,163.35912142
0.3,538.96712142
0.4,1297.2812142
0.6,4392.7512142
0.8,10330.612142
1,20465.612142
standart_deviation: 12.9501

m: 6
0.05,4.3935112142
0.1,18.625612142
0.2,169.8312142
0.3,546.27412142
0.4,1285.9712142
0.6,4397.7712142
0.8,10328.912142
1,20465.912142
standart_deviation: 6.11508

m: 7
0.05,3.2684912142
0.1,21.687212142
0.2,164.80712142
0.3,551.78512142
0.4,1283.112142
0.6,4398.3212142
0.8,10328.812142
1,20465.912142
standart_deviation: 5.26111e-05

