0,70,50
0.15,68.9312,50.3372
0.3,67.8488,50.6352
0.4,67.1228,50.8162
0.5,66.3938,50.9792
0.6,65.6634,51.124
0.7,64.9329,51.2504
0.8,64.2036,51.3583
0.9,63.477,51.4478
1,62.7541,51.5187
1.1,62.0363,51.5712
1.2,61.3246,51.6054
1.3,60.6201,51.6214
1.4,59.9238,51.6194
1.5,59.2367,51.5997
1.6,58.5596,51.5626
1.7,57.8933,51.5083
1.8,57.2387,51.4373
1.9,56.5963,51.3499
2,55.9669,51.2466
2.1,55.3509,51.1277
2.2,54.749,50.9939
2.3,54.1616,50.8454
2.4,53.5891,50.683
2.5,53.0319,50.507
2.6,52.4903,50.3181
2.7,51.9646,50.1167
2.8,51.455,49.9035
2.9,50.9618,49.679
3,50.485,49.4438
3.1,50.0249,49.1984
3.2,49.5814,48.9434
3.3,49.1548,48.6795
3.4,48.745,48.407
3.5,48.352,48.1268
3.6,47.976,47.8391
3.7,47.6167,47.5448
3.8,47.2742,47.2442
3.9,46.9485,46.9379
4,46.6395,46.6264
4.1,46.347,46.3102
4.2,46.071,45.9899
4.3,45.8115,45.666
4.4,45.5682,45.3388
4.5,45.3411,45.0089
4.6,45.13,44.6768
4.7,44.9349,44.3427
4.8,44.7555,44.0073
4.9,44.5918,43.6709
5,44.4437,43.3338
5.1,44.3109,42.9965
5.2,44.1934,42.6594
5.3,44.091,42.3227
5.4,44.0035,41.9869
5.5,43.9309,41.6522
5.6,43.8731,41.3191
5.7,43.8298,40.9877
5.8,43.8009,40.6584
5.9,43.7864,40.3314
6,43.7861,40.0071
6.1,43.7999,39.6856
6.2,43.8276,39.3673
6.3,43.8692,39.0523
6.4,43.9245,38.7409
6.5,43.9934,38.4333
6.6,44.0759,38.1297
6.7,44.1717,37.8303
6.8,44.2808,37.5353
6.9,44.4032,37.2449
7,44.5386,36.9592
7.1,44.6871,36.6783
7.2,44.8484,36.4025
7.3,45.0225,36.132
7.4,45.2094,35.8667
7.5,45.4089,35.6069
7.6,45.6209,35.3528
7.7,45.8453,35.1043
7.8,46.0821,34.8617
7.9,46.3312,34.6251
8,46.5923,34.3945
